,num_points,max_iterations,application,num_threads,chunk_size,repeat,runtime,comptime,work
172,100,100,withomp,3,1,3,0.000304833999962284,8.290999630844453e-06,[68916 68628 68628]
173,100,100,withomp,3,1,4,0.0003036670000255981,9.45799956753035e-06,[68916 68628 68628]
174,100,100,withomp,3,1,5,0.0003058329998566478,7.291999736480648e-06,[68916 68628 68628]
175,100,100,withomp,4,1,1,0.00023266700009116903,1.037499987432966e-05,[51181 51905 51905 51181]
176,100,100,withomp,4,1,2,0.00024145799989128136,1.5840000742173288e-06,[51181 51905 51905 51181]
177,100,100,withomp,4,1,3,0.00023679200012338697,6.24999984211172e-06,[51181 51905 51905 51181]
178,100,100,withomp,4,1,4,0.00023716600026091328,5.875999704585411e-06,[51181 51905 51905 51181]
179,100,100,withomp,4,1,5,0.00023700000019744039,6.041999768058304e-06,[51181 51905 51905 51181]
180,100,100,withomp,5,1,1,0.00019195899994883803,1.554099981149193e-05,[41339 41355 40784 41355 41339]
181,100,100,withomp,5,1,2,0.00019966700028817286,7.832999472157098e-06,[41339 41355 40784 41355 41339]
182,100,100,withomp,5,1,3,0.00018962500007546623,1.7874999684863724e-05,[41339 41355 40784 41355 41339]
183,100,100,withomp,5,1,4,0.00020295800004532794,4.541999715002021e-06,[41339 41355 40784 41355 41339]
184,100,100,withomp,5,1,5,0.00019116700013910304,1.6332999621226918e-05,[41339 41355 40784 41355 41339]
185,100,100,withomp,6,1,1,0.0001627080000616843,1.3791999663226306e-05,[34458 34948 34948 34458 33680 33680]
186,100,100,withomp,6,1,2,0.00017091600011553965,5.583999609370949e-06,[34458 34948 34948 34458 33680 33680]
187,100,100,withomp,6,1,3,0.000165082999956212,1.1416999768698588e-05,[34458 34948 34948 34458 33680 33680]
188,100,100,withomp,6,1,4,0.00016308299973388785,1.3416999991022749e-05,[34458 34948 34948 34458 33680 33680]
189,100,100,withomp,6,1,5,0.00016404200005126768,1.2457999673642917e-05,[34458 34948 34948 34458 33680 33680]
190,100,100,withomp,7,1,1,0.00014891699993313523,-2.4589999156887643e-06,[29793 29793 29219 29437 29274 29437 29219]
191,100,100,withomp,7,1,2,0.0001405000002705492,5.957999746897258e-06,[29793 29793 29219 29437 29274 29437 29219]
192,100,100,withomp,7,1,3,0.000150374999975611,-3.916999958164524e-06,[29793 29793 29219 29437 29274 29437 29219]
193,100,100,withomp,7,1,4,0.0001448329999220732,1.6250000953732524e-06,[29793 29793 29219 29437 29274 29437 29219]
194,100,100,withomp,7,1,5,0.00014862499983792077,-2.1669998204743024e-06,[29793 29793 29219 29437 29274 29437 29219]
195,100,100,withomp,8,1,1,0.00013187500007916242,4.334000095695956e-06,[25565 25853 25853 25565 25616 26052 26052 25616]
196,100,100,withomp,8,1,2,0.0001350830002593284,1.1259999155299738e-06,[25565 25853 25853 25565 25616 26052 26052 25616]
197,100,100,withomp,8,1,3,0.00013774999979432323,-1.5409996194648556e-06,[25565 25853 25853 25565 25616 26052 26052 25616]
198,100,100,withomp,8,1,4,0.00013183299961383455,4.3760005610238295e-06,[25565 25853 25853 25565 25616 26052 26052 25616]
199,100,100,withomp,8,1,5,0.0001392499998473795,-3.0409996725211386e-06,[25565 25853 25853 25565 25616 26052 26052 25616]
200,100,500,withomp,1,default,1,0.0032859590000953176,1.1915999948541867e-05,[873602]
